"","country","-1","0.05","0.09","0.14","0.18","0.23","0.28","0.32","0.37","0.42","0.46","fao","yields_chosen","k_est"
"1","Albania","18.33","5.47","9.29","13.77","16.92","20.65","23.8","26.22","28.87","31.53","33.35","7.36","5.47","0.05"
"2","Algeria","37.88","10.02","17.75","27.2","34.42","43.03","50.44","54.48","58.72","61.96","63.94","13.6","10.02","0.05"
"3","Austria","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"4","Bosnia_and_Herzegovina","0","0","0","0","0","0","0","0","0","0","0","0.46","0","-1"
"5","Bulgaria","30.72","8","14.32","22.21","28.43","34.43","41.58","47.09","54.08","60.85","66.02",NA,NA,NA
"6","Croatia","4.86","1.27","2.25","3.52","4.43","5.51","6.43","7.62","8.63","9.53","10.42","0.41","1.27","0.05"
"7","Cyprus","48.32","14.18","24.39","36.6","44.93","51.8","54.64","55.81","57.31","58.62","59.65","17.07","14.18","0.05"
"8","Egypt","32.1","9.02","15.75","24.04","29.65","35.48","39.8","42.28","44.69","46.45","47.22","22.09","24.04","0.14"
"9","France","0","0","0","0","0","0","0","0","0","0","0","14.27","0","-1"
"10","Greece","30.37","8.29","14.61","22.04","27.62","34.17","39.75","43.64","47.08","49.24","50.73","22.99","22.04","0.14"
"11","Hungary","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"12","Israel","39.42","10.8","19.22","28.74","36.02","44.34","51.03","54.12","56.6","57.6","58.59","30.19","28.74","0.14"
"13","Italy","23.55","6.05","10.78","16.63","21.26","26.88","32.28","35.83","40.11","43.9","46.46","20.02","21.26","0.18"
"14","Lebanon","39.44","10.86","19.07","28.78","36.09","43.72","49.78","53.12","56.69","59.2","60.81","20.71","19.07","0.09"
"15","Libya","48.42","15.17","25.91","38.22","46.13","50.88","56.85","55.3","57.33","59.04","58.95","10.28","15.17","0.05"
"16","Luxembourg","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"17","Macedonia","20.94","5.48","9.75","14.94","18.97","23.83","28.51","32.23","36.69","40.88","44.21",NA,NA,NA
"18","Montenegro","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"19","Morocco","58.71","16.3","28.88","43.96","54.57","64.19","68.6","73.41","76.06","78.07","79.3","14.86","16.3","0.05"
"20","Romania","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"21","Serbia","0","0","0","0","0","0","0","0","0","0","0","14.61","0","-1"
"22","Slovakia","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"23","Slovenia","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"24","Spain","32.56","8.54","15.16","23.22","29.5","37","44.19","48.33","53.45","57.46","60.01","20.74","23.22","0.14"
"25","Switzerland","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"26","Syria","27.75","7.81","13.45","20.21","25.34","31.2","36.31","38.92","41.67","43.46","44.55","28.28","27.75","-1"
"27","Tunisia","32.29","8.82","15.58","23.57","29.52","36.01","39.99","41.81","43.22","44.17","44.75","11.09","8.82","0.05"
"28","Turkey","23.55","6.46","11.33","17.08","21.46","26.54","30.8","34.25","37.43","39.77","41.19","33.25","34.25","0.32"
"29","Uganda","25.35","6","10.81","15.84","23.1","27.61","28.47","28.69","28.99","28.94","29.83",NA,NA,NA
"30","West_Bank","12.45","4.16","6.8","9.6","11.56","13.7","15.48","16.83","17.45","17.84","18.36",NA,NA,NA
