"","country","-1","0.032","0.058","0.091","0.117","0.15","0.182","0.208","0.24","0.273","0.299","fao","yields_chosen","k_est"
"1","Albania","18.67","4.91","8.69","13.29","16.89","21.34","25.71","28.84","32.9","36.47","38.96","6.19","4.91","0.032"
"2","Algeria","11.61","3.21","5.58","8.41","10.52","13.12","15.65","17.42","19.61","21.5","22.86","7.76","8.41","0.091"
"3","Austria","22.57","6.03","10.69","16.25","20.55","25.6","30.4","34","38.19","41.98","44.72","79.24","44.72","0.299"
"4","Bosnia_and_Herzegovina","16.72","4.61","8.05","12.12","15.22","18.83","22.1","24.54","27.9","30.85","32.92","3.31","4.61","0.032"
"5","Bulgaria","10.09","2.98","5.13","7.52","9.28","11.23","13.01","14.44","15.98","17.3","17.99","5.14","5.13","0.058"
"6","Croatia","18.64","5.24","9.18","13.75","16.98","20.83","24","26.74","29.37","32.08","34.26","9.38","9.18","0.058"
"7","Cyprus","1.28","0.62","0.87","1.14","1.25","1.43","1.49","1.94","1.87","1.94","2.03","8.24","2.03","0.299"
"8","Egypt","0.21","0.08","0.09","0.13","0.17","0.21","0.28","0.31","0.37","0.4","0.43","21.2","0.43","0.299"
"9","France","30.49","8.05","14.3","21.84","27.66","34.67","41.59","46.3","51.51","55.48","57.88","38.08","34.67","0.15"
"10","Greece","14.09","3.88","6.79","10.24","12.82","15.92","18.73","20.66","22.62","24.19","25.35","19.29","18.73","0.182"
"11","Hungary","16.78","5.03","8.67","12.65","15.45","18.52","21.29","23.22","25.06","27.05","28.06","13.23","12.65","0.091"
"12","Israel","23.64","6.9","11.86","17.26","21.67","26.23","30.94","34.94","38.32","42.61","45.76","28.09","26.23","0.15"
"13","Italy","23.27","6.17","10.93","16.68","21.13","26.46","31.81","35.4","39.92","43.83","46.36","37.29","35.4","0.208"
"14","Lebanon","20.57","5.67","9.88","14.9","18.79","23.34","27.7","30.63","34.4","37.87","40.08","13.07","14.9","0.091"
"15","Libya","9.36","2.86","4.64","6.87","8.45","10.22","11.98","13.49","14.67","15.85","16.73","35.69","16.73","0.299"
"16","Luxembourg","16.63","4.52","8.03","12.13","15.31","19","22.15","24.66","27.71","31","32.82","7.7","8.03","0.058"
"17","Macedonia","19.46","5.23","9.26","14","17.65","21.92","26.33","28.92","31.68","33.29","34.79","8.86","9.26","0.058"
"18","Montenegro","8.98","2.29","4.03","6.12","8.27","10.16","12.19","13.56","15.4","16.83","17.94",NA,NA,NA
"19","Morocco","13.84","3.87","6.72","10.12","12.64","15.67","18.36","20.32","22.21","23.76","24.89","13.25","13.84","-1"
"20","Romania","12.39","3.81","6.43","9.4","11.43","13.8","15.97","17.56","19.42","20.92","22.1","9.1","9.4","0.091"
"21","Serbia","14.28","4.09","7.11","10.55","13.13","16","18.67","20.45","22.67","24.5","25.99","7.01","7.11","0.058"
"22","Slovakia","19.26","5.43","9.53","14.16","17.65","21.66","25.03","28.06","31.29","33.99","35.85","13.53","14.16","0.091"
"23","Slovenia","28.65","7.56","13.45","20.54","26.01","32.36","39.51","43.57","48.33","52.48","54.49","37.2","39.51","0.182"
"24","Spain","15.6","4.43","7.68","11.43","14.21","17.53","20.7","22.78","24.87","26.55","27.68","18.48","17.53","0.15"
"25","Switzerland","19.45","5","8.95","13.79","17.61","22.27","27.11","30.21","34.74","39","42.21","56.18","42.21","0.299"
"26","Syria","7.08","2.16","3.57","5.2","6.42","7.89","9.14","10.31","11.52","12.58","13.44","9.05","9.14","0.182"
"27","Tunisia","6.68","1.88","3.29","4.94","6.14","7.45","9.07","9.88","11.09","11.94","12.77","4.24","4.94","0.091"
"28","Turkey","9.27","2.73","4.66","6.87","8.51","10.4","12.33","13.41","14.72","15.72","16.4","20.21","16.4","0.299"
"29","Uganda","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA
"30","West_Bank","8.19","2.57","4.05","6.02","7.13","8.98","10.62","11.39","11.67","11.73","12.01",NA,NA,NA
